dip,volume
1,15
2,30
3,45
4,60
5,75
6,90
7,105
8,120
9,135
10,150
11,165
12,180
13,195
14,210
15,225
16,240
17,255
18,270
19,285
20,300
21,315
22,330
23,345
24,360
25,375
26,390
27,405
28,420
29,435
30,450
31,465
32,480
33,495
34,510
35,525
36,540
37,555
38,570
39,585
40,600
41,615
42,630
43,645
44,660
45,675
46,690
47,705
48,720
49,735
50,750
51,765
52,780
53,795
54,810
55,825
56,840
57,855
58,870
59,885
60,900
61,915
62,930
63,945
64,960
65,975
66,990
67,1005
68,1020
69,1035
70,1050
71,1065
72,1080
73,1095
74,1110
75,1125
76,1140
77,1155
78,1170
79,1185
80,1200
81,1215
82,1230
83,1245
84,1260
85,1275
86,1290
87,1305
88,1320
89,1335
90,1350
91,1365
92,1380
93,1395
94,1410
95,1425
96,1440
97,1455
98,1470
99,1485
100,1500
101,1515
102,1530
103,1545
104,1560
